Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
Pertambangan dan Penggalian,Mei,10921323.0,Rupiah
Industri Pengolahan,Mei,23453718.0,Rupiah
Pengadaan Listrik dan Gas,Mei,8102476.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Mei,818944.0,Rupiah
Konstruksi,Mei,17375646.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Mei,20210346.0,Rupiah
Transportasi dan Pergudangan,Mei,16166801.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Mei,8455453.0,Rupiah
Informasi dan Komunikasi,Mei,9974331.0,Rupiah
Jasa Keuangan dan Asuransi,Mei,3027143.0,Rupiah
Real Estate,Mei,14059612.0,Rupiah
Jasa Perusahaan,Mei,5165555.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Mei,6681.0,Rupiah
Jasa Pendidikan,Mei,1715055.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Mei,3596403.0,Rupiah
Jasa Lainnya,Mei,4353355.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Mei,0.0,Rupiah
JUMLAH,Mei,175326482.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Juni,175839381.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Juni,27907238.0,Rupiah
Pertambangan dan Penggalian,Juni,11110909.0,Rupiah
Industri Pengolahan,Juni,23533645.0,Rupiah
Pengadaan Listrik dan Gas,Juni,8494637.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Juni,831926.0,Rupiah
Konstruksi,Juni,17234977.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Juni,2001224.0,Rupiah
Transportasi dan Pergudangan,Juni,165218.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Juni,8380305.0,Rupiah
Informasi dan Komunikasi,Juni,10291037.0,Rupiah
Jasa Keuangan dan Asuransi,Juni,2289546.0,Rupiah
Real Estate,Juni,14140655.0,Rupiah
Jasa Perusahaan,Juni,5243018.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Juni,6415.0,Rupiah
Jasa Pendidikan,Juni,171214.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Juni,3626869.0,Rupiah
Jasa Lainnya,Juni,4502024.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Juni,0.0,Rupiah
JUMLAH,Juni,175839381.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Juli,17627662.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Juli,28411275.0,Rupiah
Pertambangan dan Penggalian,Juli,11184747.0,Rupiah
Industri Pengolahan,Juli,23616168.0,Rupiah
Pengadaan Listrik dan Gas,Juli,8519205.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Juli,827649.0,Rupiah
Konstruksi,Juli,16959529.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Juli,20160815.0,Rupiah
Transportasi dan Pergudangan,Juli,16611813.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Juli,848607.0,Rupiah
Informasi dan Komunikasi,Juli,9901226.0,Rupiah
Jasa Keuangan dan Asuransi,Juli,2353043.0,Rupiah
Real Estate,Juli,14119313.0,Rupiah
Jasa Perusahaan,Juli,5206119.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Juli,6749.0,Rupiah
Jasa Pendidikan,Juli,1719923.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Juli,3683734.0,Rupiah
Jasa Lainnya,Juli,4509243.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Juli,0.0,Rupiah
JUMLAH,Juli,17627662.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Agustus,176604769.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Agustus,28509072.0,Rupiah
Pertambangan dan Penggalian,Agustus,11203752.0,Rupiah
Industri Pengolahan,Agustus,23743007.0,Rupiah
Pengadaan Listrik dan Gas,Agustus,8426767.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,830583.0,Rupiah
Konstruksi,Agustus,16907531.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Agustus,2017104.0,Rupiah
Transportasi dan Pergudangan,Agustus,16731556.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Agustus,8528013.0,Rupiah
Informasi dan Komunikasi,Agustus,9899604.0,Rupiah
Jasa Keuangan dan Asuransi,Agustus,2326992.0,Rupiah
Real Estate,Agustus,14179242.0,Rupiah
Jasa Perusahaan,Agustus,5178425.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,6963.0,Rupiah
Jasa Pendidikan,Agustus,1729396.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Agustus,3772885.0,Rupiah
Jasa Lainnya,Agustus,4459942.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Agustus,0.0,Rupiah
JUMLAH,Agustus,176604769.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,September,180169487.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",September,28269854.0,Rupiah
Pertambangan dan Penggalian,September,11410879.0,Rupiah
Industri Pengolahan,September,24136086.0,Rupiah
Pengadaan Listrik dan Gas,September,9941014.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",September,897493.0,Rupiah
Konstruksi,September,17314057.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",September,201470.0,Rupiah
Transportasi dan Pergudangan,September,16969316.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,September,8711999.0,Rupiah
Informasi dan Komunikasi,September,10071013.0,Rupiah
Jasa Keuangan dan Asuransi,September,230536.0,Rupiah
Real Estate,September,14173745.0,Rupiah
Jasa Perusahaan,September,5193752.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",September,389505.0,Rupiah
Jasa Pendidikan,September,1762978.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,September,3816972.0,Rupiah
Jasa Lainnya,September,4658462.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),September,0.0,Rupiah
JUMLAH,September,180169487.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Oktober,185273176.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Oktober,3047444.0,Rupiah
Pertambangan dan Penggalian,Oktober,11370226.0,Rupiah
Industri Pengolahan,Oktober,24493152.0,Rupiah
Pengadaan Listrik dan Gas,Oktober,994329.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Oktober,907663.0,Rupiah
Konstruksi,Oktober,17421499.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Oktober,21402057.0,Rupiah
Transportasi dan Pergudangan,Oktober,1748049.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Oktober,8735816.0,Rupiah
Informasi dan Komunikasi,Oktober,10394224.0,Rupiah
Jasa Keuangan dan Asuransi,Oktober,2356102.0,Rupiah
Real Estate,Oktober,14385267.0,Rupiah
Jasa Perusahaan,Oktober,5248084.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Oktober,6868.0,Rupiah
Jasa Pendidikan,Oktober,1769761.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Oktober,3867223.0,Rupiah
Jasa Lainnya,Oktober,5017013.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Oktober,0.0,Rupiah
