Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
Informasi dan Komunikasi,Agustus,798081.0,Valuta Asing
Jasa Keuangan dan Asuransi,Agustus,316955.0,Valuta Asing
Real Estate,Agustus,901105.0,Valuta Asing
Jasa Perusahaan,Agustus,901774.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,86.0,Valuta Asing
Jasa Pendidikan,Agustus,1793.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Agustus,48812.0,Valuta Asing
Jasa Lainnya,Agustus,381147.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Agustus,0.0,Valuta Asing
JUMLAH,Agustus,45830792.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,September,46105033.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",September,1975801.0,Valuta Asing
Pertambangan dan Penggalian,September,10426476.0,Valuta Asing
Industri Pengolahan,September,12196449.0,Valuta Asing
Pengadaan Listrik dan Gas,September,9564552.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",September,38292.0,Valuta Asing
Konstruksi,September,238843.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",September,1244359.0,Valuta Asing
Transportasi dan Pergudangan,September,6419678.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,September,659882.0,Valuta Asing
Informasi dan Komunikasi,September,780778.0,Valuta Asing
Jasa Keuangan dan Asuransi,September,295906.0,Valuta Asing
Real Estate,September,927931.0,Valuta Asing
Jasa Perusahaan,September,899984.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",September,628.0,Valuta Asing
Jasa Pendidikan,September,1652.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,September,49295.0,Valuta Asing
Jasa Lainnya,September,384528.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),September,0.0,Valuta Asing
JUMLAH,September,46105033.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Oktober,48243119.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Oktober,1940586.0,Valuta Asing
Pertambangan dan Penggalian,Oktober,10725959.0,Valuta Asing
Industri Pengolahan,Oktober,13386224.0,Valuta Asing
Pengadaan Listrik dan Gas,Oktober,10343196.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Oktober,3821.0,Valuta Asing
Konstruksi,Oktober,97851.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Oktober,1314207.0,Valuta Asing
Transportasi dan Pergudangan,Oktober,6379891.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Oktober,659684.0,Valuta Asing
Informasi dan Komunikasi,Oktober,745652.0,Valuta Asing
Jasa Keuangan dan Asuransi,Oktober,29459.0,Valuta Asing
Real Estate,Oktober,977725.0,Valuta Asing
Jasa Perusahaan,Oktober,883921.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Oktober,604.0,Valuta Asing
Jasa Pendidikan,Oktober,1625.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Oktober,49092.0,Valuta Asing
Jasa Lainnya,Oktober,404099.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Oktober,0.0,Valuta Asing
JUMLAH,Oktober,48243119.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,November,48243119.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",November,1940586.0,Valuta Asing
Pertambangan dan Penggalian,November,10725959.0,Valuta Asing
Industri Pengolahan,November,13386224.0,Valuta Asing
Pengadaan Listrik dan Gas,November,10343196.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",November,3821.0,Valuta Asing
Konstruksi,November,97851.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",November,1314207.0,Valuta Asing
Transportasi dan Pergudangan,November,6379891.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,November,659684.0,Valuta Asing
Informasi dan Komunikasi,November,745652.0,Valuta Asing
Jasa Keuangan dan Asuransi,November,29459.0,Valuta Asing
Real Estate,November,977725.0,Valuta Asing
Jasa Perusahaan,November,883921.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",November,604.0,Valuta Asing
Jasa Pendidikan,November,1625.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,November,49092.0,Valuta Asing
Jasa Lainnya,November,404099.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),November,0.0,Valuta Asing
JUMLAH,November,48243119.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Desember,48243119.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Desember,1940586.0,Valuta Asing
Pertambangan dan Penggalian,Desember,10725959.0,Valuta Asing
Industri Pengolahan,Desember,13386224.0,Valuta Asing
Pengadaan Listrik dan Gas,Desember,10343196.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Desember,3821.0,Valuta Asing
Konstruksi,Desember,97851.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Desember,1314207.0,Valuta Asing
Transportasi dan Pergudangan,Desember,6379891.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Desember,659684.0,Valuta Asing
Informasi dan Komunikasi,Desember,745652.0,Valuta Asing
Jasa Keuangan dan Asuransi,Desember,29459.0,Valuta Asing
Real Estate,Desember,977725.0,Valuta Asing
Jasa Perusahaan,Desember,883921.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Desember,604.0,Valuta Asing
Jasa Pendidikan,Desember,1625.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Desember,49092.0,Valuta Asing
Jasa Lainnya,Desember,404099.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Desember,0.0,Valuta Asing
JUMLAH,Desember,48243119.0,Valuta Asing
